iteration,sequence_index,timestep_index,x,y,z
1,0,0,1.4818874198752684e-13,2.409022037842129e-12,1.281
1,1,0,-3.1261205636045128e-06,7.644753970484364e-13,1.2809999999901394
1,1,1,0.009433208032034198,0.000301833607586833,1.2805922739295124
1,1,2,0.027155765270394358,0.0011021490630007643,1.2775087728539622
1,1,3,0.05066222919154075,0.004601762484255203,1.268396708559468
1,1,4,0.07520030377116177,0.011176101738608675,1.2530174042686695
1,1,5,0.10064583602126972,0.022072406057159637,1.2304289991096045
1,1,6,0.12285811801693597,0.04213106254479241,1.201910166261862
1,1,7,0.14377291234153466,0.060913817546387375,1.1692313435142987
1,1,8,0.16186791733499395,0.07843009394202718,1.135174183260975
1,1,9,0.17642321631361155,0.0975699900974421,1.1008448928131593
1,2,0,5.8737028724992095e-05,6.715544478472744e-10,1.2809999977498843
1,2,1,0.009754702621059616,0.0003692079979470563,1.2805755470738103
1,2,2,0.02810604546870801,0.0030037504409310962,1.2773452725471421
1,2,3,0.05053071860126791,0.007914198304215908,1.2684813478485806
1,2,4,0.07319182878347329,0.01580797450699265,1.2526632492319065
1,2,5,0.09586804037913196,0.02507794203853878,1.230974721857487
1,2,6,0.11700177270474683,0.03636068544860446,1.2042835120565905
1,2,7,0.13583993776751646,0.051870214684791166,1.1731834767541818
1,2,8,0.15058478750616083,0.07006603966979318,1.1412980300854947
1,2,9,0.16158152736220224,0.09221711638552131,1.108342229367962
1,3,0,4.206806924205431e-05,5.110852943114585e-10,1.2809999986608862
1,3,1,0.009311985482421022,0.00024795375233166043,1.2805967701543286
1,3,2,0.026863200912631682,0.002207005461389744,1.2775211258986303
1,3,3,0.05015806880081591,0.008447842395866842,1.268343188060288
1,3,4,0.07526973045673943,0.018735958606710963,1.252532527099307
1,3,5,0.09917917764303345,0.031113226025716922,1.2311625601195875
1,3,6,0.12420337197779655,0.04434908113842453,1.2023971797616113
1,3,7,0.1459756325604763,0.06053139857489942,1.1702319271428587
1,3,8,0.16411519226650367,0.078288414044878,1.1367940336300886
1,3,9,0.17887367456990666,0.09986472280729826,1.1019522946386888
1,4,0,6.267156534097298e-05,6.219270830211572e-10,1.2809999975079336
1,4,1,0.009223522941341114,0.0003940950452293695,1.2806002478582574
1,4,2,0.027323984062404858,0.002240348434673237,1.2774652257342545
1,4,3,0.04997860976593463,0.005423714309854966,1.2687110564184834
1,4,4,0.0720891955680508,0.01166793391217772,1.2535481722511153
1,4,5,0.09378970014982602,0.022067518355360943,1.2329178284515412
1,4,6,0.11531898879706304,0.03727360038263622,1.2052349190065548
1,4,7,0.13345527797883056,0.05605531095193786,1.1740912148239262
1,4,8,0.1493908312922907,0.07335817286627208,1.1413832340899264
1,4,9,0.16258830288609855,0.09150554982171247,1.1081131680523912
1,5,0,3.917108605844004e-05,4.1520078114575323e-10,1.2809999987966048
1,5,1,0.00889414547175428,0.0001919890829444877,1.2806162849921683
1,5,2,0.027271003589335308,0.0021577298039922497,1.277472415289716
1,5,3,0.047892773829724386,0.006753354038007382,1.2695486019482267
1,5,4,0.07258014520762202,0.013941139119265807,1.2547284274668364
1,5,5,0.09790686247141445,0.02541305342569805,1.2327220811935542
1,5,6,0.12251440177506075,0.04119134789133034,1.2038285881614401
1,5,7,0.14384727975604938,0.05979540717283453,1.1711111856100187
1,5,8,0.16132468163159233,0.07914134303069782,1.1372186554945096
1,5,9,0.17669592049957178,0.09707694192257232,1.1026303046289827
1,6,0,6.25011612126724e-05,6.689302459389826e-10,1.280999997486573
1,6,1,0.009648622645924119,0.0004596839538703681,1.2805776710097037
1,6,2,0.027654916773813928,0.0027112455663135184,1.2774153684001395
1,6,3,0.048917005131764155,0.0072613386116879095,1.2691200232046767
1,6,4,0.06941886363762755,0.016855436083547327,1.2547928648613411
1,6,5,0.09282960342325265,0.02815383373995816,1.2325549531657778
1,6,6,0.11558172294630181,0.04220523354357568,1.2038493884762358
1,6,7,0.1346053439216121,0.05783777865975256,1.172486276920049
1,6,8,0.14891392663116082,0.07799873658876735,1.1399795735303715
1,6,9,0.16105379450747562,0.0967578737296097,1.107163350391508
1,7,0,4.0290465815983885e-05,4.5685929730065675e-10,1.2809999987550098
1,7,1,0.008766832295164305,0.00017101423224346105,1.2806208806949453
1,7,2,0.026184735339093768,0.0018723205414332932,1.2776145842187931
1,7,3,0.050371728453691145,0.005784423673531979,1.268410471525121
1,7,4,0.07309346387205921,0.01427870988830956,1.2524992561173218
1,7,5,0.09524862960238605,0.025809873680498877,1.230771781199377
1,7,6,0.11678156165251952,0.038428601177618364,1.203402781207879
1,7,7,0.13497892344944146,0.05559667991404728,1.1722907099526025
1,7,8,0.15144570351559183,0.07030099670756344,1.139626413130686
1,7,9,0.16284942976555217,0.09020630145714867,1.107433163475418
1,8,0,3.791879443247851e-05,3.8586133306551737e-10,1.2809999988641818
1,8,1,0.009554204825219403,0.00048028326372353874,1.2805822207010304
1,8,2,0.027537940646122992,0.002079671472232868,1.2774400842761535
1,8,3,0.051434780080690856,0.007130115085401808,1.26803259263755
1,8,4,0.07148905634325994,0.014759069145028978,1.2538496139680224
1,8,5,0.09371398952329045,0.027525404493768637,1.2322013952179451
1,8,6,0.11625725709183388,0.04128927658019983,1.2038961656127793
1,8,7,0.135135168725173,0.0579364202313071,1.1723686840019
1,8,8,0.15056528127206525,0.075340147647797,1.1397758207275395
1,8,9,0.16443116318842932,0.0913058521168556,1.1063827722805961
1,9,0,4.0492031498421856e-05,4.699487889223315e-10,1.2809999987467566
1,9,1,0.010085324713099593,0.00014642748733317634,1.2805576352908685
1,9,2,0.02782941562678521,0.0014810541326471646,1.2774052911803555
1,9,3,0.04894870560216772,0.005727074182885943,1.2691333524815198
1,9,4,0.07448048328421521,0.014439733417538233,1.2532089689357742
1,9,5,0.09823754460592533,0.02963660052257737,1.2312705936915038
1,9,6,0.1219737483728725,0.047282273816365836,1.2021314797851441
1,9,7,0.14168622059326613,0.06698292477101553,1.1702707608239007
1,9,8,0.15893933016348033,0.08590877144241474,1.1365727110010717
1,9,9,0.17474507665013006,0.10123539158822634,1.1028837868803971
1,10,0,6.788816180597825e-05,8.1967929947864e-10,1.2809999970991173
1,10,1,0.009132715619762458,0.00020960788997682677,1.2806073175063417
1,10,2,0.02661556724911532,0.0020796283346772347,1.2775639953813207
1,10,3,0.048881610991302074,0.007235174748612011,1.2690184669843034
1,10,4,0.07217702414352653,0.015791195538493414,1.254664538933091
1,10,5,0.0947099437031552,0.025469883896009328,1.2336033440716776
1,10,6,0.11763676896114761,0.038801168603320765,1.2051821935766291
1,10,7,0.13691873484628864,0.05404495058034388,1.1738927651915627
1,10,8,0.15278416192649563,0.07252524247749653,1.1406325236435444
1,10,9,0.1649389102553325,0.09270720387286546,1.1071420025673944
1,11,0,3.491459493295253e-05,3.813774139701208e-10,1.2809999990785812
1,11,1,0.009511456110764873,0.0004419761066950061,1.2805851278972582
1,11,2,0.02727112669356703,0.0022364435787216256,1.277473463721627
1,11,3,0.049530393391763586,0.0073963428343727326,1.2687494117346239
1,11,4,0.07543649297880581,0.013238694418245055,1.2531378091496583
1,11,5,0.09780425384503988,0.025541134144690253,1.2309760901979507
1,11,6,0.11881431640558254,0.0390471200148008,1.2035019361216839
1,11,7,0.13729625358111608,0.057255706246087265,1.1718136571722992
1,11,8,0.15362840061573252,0.07240255685272888,1.1389741618978155
1,11,9,0.16603848879136954,0.09088780878353045,1.1061391097212403
1,12,0,3.7500116494920105e-05,4.605888316686242e-10,1.2809999989651284
1,12,1,0.009823501802287908,0.0004290075367447145,1.2805690413928703
1,12,2,0.02809591370748113,0.0030345155470916925,1.2773409389363508
1,12,3,0.05004736769459714,0.00880189092121697,1.2685903587079008
1,12,4,0.07322817966054704,0.017892538781160948,1.252489847064793
1,12,5,0.09594989424267988,0.030466019059035666,1.229861895621893
